,terms,country,date
35307,daily,France,2020-02-02
35308,battles,France,2020-02-02
35309,plane,France,2020-02-02
35310,strong,France,2020-02-02
35311,warning,France,2020-02-02
35312,outside,France,2020-02-02
35313,risk,France,2020-02-02
35314,@scmpnews,France,2020-02-02
35315,exports,France,2020-02-02
35316,2020,France,2020-02-02
35317,place,France,2020-02-02
35318,response,France,2020-02-02
35319,states,France,2020-02-02
35320,tried,France,2020-02-02
35321,send,France,2020-02-02
35322,mass,France,2020-02-02
35323,#youtube,France,2020-02-02
35324,carrying,France,2020-02-02
35325,threat,France,2020-02-02
35326,actually,France,2020-02-02
35327,trade,France,2020-02-02
35328,medicine,France,2020-02-02
35329,huge,France,2020-02-02
35330,pandemic,France,2020-02-02
35331,cure,France,2020-02-02
35332,drug,France,2020-02-02
35333,#weather,France,2020-02-02
35334,722,France,2020-02-02
35335,7double,France,2020-02-02
35336,@finy06,France,2020-02-02
35337,@jennifernuzzo,France,2020-02-02
35338,@jubilee,France,2020-02-02
35339,@shotsrangout,France,2020-02-02
35340,barbados,France,2020-02-02
35341,cooperative,France,2020-02-02
35342,morts,France,2020-02-02
35343,opa,France,2020-02-02
35344,#tokyo2020,France,2020-02-02
35345,360,France,2020-02-02
35346,mention,France,2020-02-02
35347,scenario,France,2020-02-02
35348,rises,France,2020-02-02
35349,pay,France,2020-02-02
35350,@china,France,2020-02-02
35351,agreement,France,2020-02-02
35352,lesson,France,2020-02-02
35353,markets,France,2020-02-02
35354,plan,France,2020-02-02
35355,working,France,2020-02-02
35356,shortage,France,2020-02-02
35357,friday,France,2020-02-02
35358,turn,France,2020-02-02
35359,business,France,2020-02-02
35360,story,France,2020-02-02
35361,nov,France,2020-02-02
35362,wartime,France,2020-02-02
35363,passengers,France,2020-02-02
35364,longer,France,2020-02-02
35365,close,France,2020-02-02
35366,approval,France,2020-02-02
35367,killed,France,2020-02-02
35368,canada,France,2020-02-02
35369,course,France,2020-02-02
35370,tells,France,2020-02-02
35371,warn,France,2020-02-02
35372,6,France,2020-02-02
35373,@ivankatrump,France,2020-02-02
35374,information,France,2020-02-02
35375,flight,France,2020-02-02
35376,reminds,France,2020-02-02
35377,stan,France,2020-02-02
35378,critical,France,2020-02-02
35379,eating,France,2020-02-02
35380,#fail,France,2020-02-02
35381,#metal,France,2020-02-02
35382,#swineflu,France,2020-02-02
35383,1993,France,2020-02-02
35384,438,France,2020-02-02
35385,commentator,France,2020-02-02
35386,neighbourhoods,France,2020-02-02
